location,depth_cm,ammonia_mg_l,nitrite_mg_l,nitrate_mg_l,reactive_phosphate_mg_l,conductivity_microS_cm,dissolved_oxygen_mg_l,pH,temperature_C,month
1,0,0.07,0.1,0.51,0.22,180,7.57,8.3,28.6,January
1,50,0.1,0.2,0.48,0.22,184,7.41,8.3,28.6,January
1,100,0.1,0.25,0.45,0.23,188,7.27,8.3,28.3,January
1,150,0.1,0.3,0.43,0.25,199,7.2,8.23,28.3,January
1,200,0.12,0.3,0.35,0.25,210,5.88,8.03,27.9,January
1,250,0.14,0.3,0.3,0.26,215,4.86,7.83,27.9,January
1,300,0.2,0.3,0.3,0.26,224,4.51,7.5,27.8,January
1,350,0.3,0.3,0.3,0.28,241,4.1,7.36,27.8,January
1,400,0.35,0.3,0.3,0.28,246,3.84,7.33,27.8,January
1,450,0.37,0.3,0.3,0.3,252,3.51,7.29,27.7,January
1,500,0.4,0.3,0.3,0.3,294,3.12,7.25,27.5,January
1,550,0.4,0.3,0.3,0.3,321,2.54,7.22,27.5,January
1,600,0.41,0.4,0.3,0.3,400,0.35,7.22,27.5,January
1,650,0.64,0.59,0.07,0.3,426,0.18,7.2,27.5,January
1,700,0.81,0.6,0.05,0.5,455,0.18,7.2,27.5,January
1,750,1.01,0.62,0.05,1.2,481,0.18,7.17,27.4,January
1,800,1.12,0.7,0.05,2.2,490,0.18,7.17,27.3,January
2,0,0.08,0.05,0.5,0.28,175,7.55,8.1,28.8,January
2,50,0.2,0.1,0.45,0.27,180,7.39,8.1,28.8,January
2,100,0.2,0.15,0.43,0.25,183,7.25,8.1,28.6,January
2,150,0.1,0.2,0.4,0.28,195,7.18,8.2,28.6,January
2,200,0.13,0.2,0.32,0.28,205,5.86,7.8,28.4,January
2,250,0.15,0.25,0.25,0.3,210,4.84,7.78,28.4,January
2,300,0.3,0.2,0.25,0.3,220,4.48,7.48,28.4,January
2,350,0.3,0.2,0.25,0.3,235,3.9,7.34,28.4,January
2,400,0.36,0.25,0.25,0.3,242,3.81,7.3,28.4,January
2,450,0.38,0.2,0.25,0.32,248,3.48,7.25,28.4,January
2,500,0.41,0.2,0.25,0.32,290,3.02,7.2,28.1,January
2,550,0.5,0.2,0.2,0.33,315,2.52,7.2,28.1,January
2,600,0.51,0.3,0.2,0.35,393,0.33,7.2,28.1,January
2,650,0.65,0.55,0.06,0.4,419,0.26,7.18,28.1,January
2,700,0.85,0.5,0.05,0.45,441,0.26,7.18,28.1,January
2,750,1.11,0.6,0.05,1,475,0.16,7.15,28.1,January
2,800,1.22,0.6,0.05,2.1,485,0.16,7.11,27.5,January
3,0,0.05,0.11,0.49,0.21,185,7.53,8.5,29.1,January
3,50,0.1,0.18,0.45,0.21,190,7.36,8.5,29.1,January
3,100,0.2,0.14,0.4,0.22,195,7.23,8.5,28.9,January
3,150,0.1,0.18,0.4,0.22,205,6.8,8.31,28.9,January
3,200,0.11,0.15,0.3,0.24,205,5.84,8.12,28.5,January
3,250,0.1,0.15,0.25,0.25,220,4.84,7.95,28.1,January
3,300,0.18,0.15,0.25,0.25,230,4.4,7.61,28.1,January
3,350,0.2,0.2,0.25,0.27,245,3.6,7.41,28.1,January
3,400,0.25,0.2,0.2,0.28,251,3.78,7.43,28.1,January
3,450,0.27,0.2,0.2,0.28,258,3.4,7.33,28,January
3,500,0.3,0.2,0.1,0.29,305,3,7.35,28,January
3,550,0.35,0.16,0.1,0.3,326,2.5,7.33,28,January
3,600,0.4,0.25,0.1,0.3,411,0.25,7.33,28,January
3,650,0.55,0.45,0.05,0.3,431,0.25,7.31,28,January
