ID,datetime,month,location,depth_cm,dissolved_oxygen_mg_l,temperature_C,calibration
0,1/16/2016,january,1,0,7.57,28.6,valid
1,1/16/2016,january,1,50,7.41,28.6,valid
2,1/16/2016,january,1,100,7.27,28.3,valid
3,1/16/2016,january,1,150,7.2,,valid
4,1/16/2016,january,1,200,5.88,27.9,valid
5,1/16/2016,january,1,250,4.86,27.9,valid
6,1/16/2016,january,1,300,4.51,27.8,valid
7,1/16/2016,january,1,350,4.1,27.8,valid
8,1/16/2016,january,1,400,3.84,27.8,valid
9,1/16/2016,january,1,450,3.51,27.7,valid
10,1/16/2016,january,1,500,3.12,27.5,valid
11,1/16/2016,january,1,550,2.54,27.5,valid
12,1/16/2016,january,1,600,0.35,27.5,valid
13,1/16/2016,january,1,650,0.18,27.5,valid
14,1/16/2016,january,1,700,0.18,27.5,valid
15,1/16/2016,january,1,750,0.18,27.4,valid
16,1/16/2016,january,1,800,0.18,27.3,valid
17,1/5/2016,january,2,0,7.55,28.8,valid
18,1/5/2016,january,2,50,7.39,28.8,valid
19,1/5/2016,january,2,100,7.25,28.6,valid
20,1/5/2016,january,2,150,7.18,28.6,valid
21,1/5/2016,january,2,200,5.86,28.4,valid
22,1/5/2016,january,2,250,4.84,28.4,valid
23,1/5/2016,january,2,300,4.48,28.4,valid
24,1/5/2016,january,2,350,3.9,28.4,valid
25,1/5/2016,january,2,400,3.81,28.4,valid
26,1/5/2016,january,2,450,3.48,28.4,valid
27,1/5/2016,january,2,500,3.02,28.1,valid
28,1/5/2016,january,2,550,,28.1,valid
29,1/5/2016,january,2,600,0.33,28.1,valid
30,1/5/2016,january,2,650,0.26,28.1,valid
31,1/5/2016,january,2,700,0.26,28.1,valid
32,1/5/2016,january,2,750,0.16,28.1,valid
33,1/5/2016,january,2,800,0.16,27.5,valid
34,1/23/2016,january,3,0,7.53,29.1,valid
35,1/23/2016,january,3,50,7.36,29.1,valid
36,1/23/2016,january,3,100,7.23,28.9,valid
37,1/23/2016,january,3,150,6.8,28.9,valid
38,1/23/2016,january,3,200,5.84,28.5,valid
39,1/23/2016,january,3,250,4.84,28.1,valid
40,1/23/2016,january,3,300,4.4,28.1,valid
41,1/23/2016,january,3,350,3.6,28.1,valid
42,1/23/2016,january,3,400,3.78,28.1,valid
43,1/23/2016,january,3,450,3.4,28,valid
44,1/23/2016,january,3,500,3,28,valid
45,1/23/2016,january,3,550,2.5,28,valid
46,1/23/2016,january,3,600,0.25,28,valid
47,1/23/2016,january,3,650,0.25,28,valid
48,1/23/2016,january,3,700,0.25,28,valid
49,1/23/2016,january,3,750,0.14,27.9,non-valid
50,1/23/2016,january,3,800,0.14,27.4,non-valid
51,5/12/2016,may,1,0,7.95,29,valid
52,5/12/2016,may,1,50,6.64,28.6,valid
53,5/12/2016,may,1,100,6.24,28.2,valid
54,5/12/2020,may,1,150,6.1,28.1,valid
55,5/12/2016,may,1,200,5.47,28.1,valid
56,5/12/2016,may,1,250,4.91,28.1,valid
57,5/12/2016,may,1,300,4.46,28.1,valid
58,5/12/2016,may,1,350,4.31,27.8,valid
59,5/12/2016,may,1,400,3.84,27.8,valid
60,5/12/2016,may,1,450,2.35,27.6,valid
61,5/12/2016,may,1,500,0.1,27.5,valid
62,5/12/2016,may,1,550,0.1,27.3,valid
63,5/12/2016,may,1,600,0.1,27,valid
64,5/12/2016,may,2,0,7.84,29.1,valid
65,5/12/2016,may,2,50,6.51,28.4,valid
66,5/12/2016,may,2,100,6.14,28.4,valid
67,5/12/2016,may,2,150,6.11,28.4,valid
68,5/12/2020,may,2,200,5.55,28.4,valid
69,5/12/2016,may,2,250,4.81,28.2,valid
70,5/12/2016,may,2,300,4.46,28.2,valid
71,5/12/2016,may,2,350,4.23,27.4,valid
72,5/12/2016,may,2,400,3.71,27.4,valid
73,5/12/2016,may,2,450,2.22,27.4,non-valid
74,5/12/2020,may,2,500,0.1,27.4,non-valid
75,5/12/2016,may,2,550,0.07,27.2,non-valid
76,5/12/2020,may,2,600,0.05,27,non-valid
77,5/18/2020,may,3,0,7.88,29.2,valid
78,5/18/2020,may,3,50,6.57,29.2,valid
79,5/18/2020,may,3,100,6.34,28.5,valid
80,5/18/2020,may,3,150,6.01,28.2,valid
81,5/18/2020,may,3,200,5.22,28.4,valid
82,5/18/2020,may,3,250,4.75,28.2,valid
83,5/18/2020,may,3,300,4.51,28.2,valid
84,5/18/2020,may,3,350,4.42,27.6,valid
85,5/18/2020,may,3,400,3.62,27.6,valid
86,5/18/2020,may,3,450,2.27,27.8,valid
87,5/18/2020,may,3,500,0.1,27.8,valid
88,5/18/2020,may,3,550,0.11,27.9,valid
89,5/18/2020,may,3,600,0.11,27.5,valid
